REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.429	 1.429	 0.000	 0	 8000	1.6880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.376	 1.376	 0.000	 0	 8000	1.2120
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.446	 1.446	 0.000	 0	 8000	8.1000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.481	 1.481	 0.000	 0	 8000	8.4680
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.429	 1.429	 0.000	 0	 8000	1.6880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.376	 1.376	 0.000	 0	 8000	1.2120
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.446	 1.446	 0.000	 0	 8000	8.1000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.481	 1.481	 0.000	 0	 8000	8.4680
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.429	 1.429	 0.000	 0	 8000	1.6880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.376	 1.376	 0.000	 0	 8000	1.2120
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.446	 1.446	 0.000	 0	 8000	8.1000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.481	 1.481	 0.000	 0	 8000	8.4680
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.429	 1.429	 0.000	 0	 8000	1.6880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.376	 1.376	 0.000	 0	 8000	1.2120
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.446	 1.446	 0.000	 0	 8000	8.1000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.481	 1.481	 0.000	 0	 8000	8.4680
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.429	 1.429	 0.000	 0	 8000	1.6880
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.376	 1.376	 0.000	 0	 8000	1.2120
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.822	 1.822	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=2.191	 2.191	 0.000	 0	 8000	0.0000
